City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
177,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,27.19,80,75,6.71,broken clouds
178,Portland,US,45.5234,-122.6762,61.84,76,75,6.91,broken clouds
179,Sao Desiderio,BR,-12.3633,-44.9733,87.06,48,100,4.14,overcast clouds
180,Pangkalanbuun,ID,-2.6833,111.6167,73.87,97,38,2.53,light rain
181,Miyako,JP,39.6367,141.9525,32.22,74,9,5.7,clear sky
182,Port Macquarie,AU,-31.4333,152.9167,67.89,100,75,1.14,light rain
183,Pilar,BR,-9.5972,-35.9567,82.33,65,84,8.61,broken clouds
184,Polessk,RU,54.862,21.1028,42.85,82,17,23.53,few clouds
185,Broome,US,42.2506,-75.833,22.66,53,100,17.27,overcast clouds
186,San Patricio,US,28.017,-97.5169,85.15,46,3,20.09,clear sky
187,Codrington,AU,-38.2667,141.9667,60.04,70,96,6.46,overcast clouds
188,Port Elizabeth,ZA,-33.918,25.5701,74.1,63,0,18.41,clear sky
189,Bosaso,SO,11.2842,49.1816,78.64,64,3,1.19,clear sky
190,Airai,TL,-8.9266,125.4092,59.43,94,72,0.72,broken clouds
191,Balabac,PH,7.9868,117.0645,78.35,85,97,7.63,light rain
192,Klaksvik,FO,62.2266,-6.589,34.72,89,100,11.05,light snow
193,Dorogino,RU,54.3598,83.3198,29.01,96,100,8.19,overcast clouds
194,Souillac,MU,-20.5167,57.5167,79.18,83,40,1.14,scattered clouds
195,Verkhnevilyuysk,RU,63.4453,120.3167,6.24,98,100,2.91,overcast clouds
196,Ilanskiy,RU,56.2358,96.065,13.78,94,100,1.74,overcast clouds
197,Vila Franca Do Campo,PT,37.7167,-25.4333,63.01,77,0,8.86,clear sky
198,Kuching,MY,1.55,110.3333,77.22,94,20,3.0,few clouds
199,Saldanha,ZA,-33.0117,17.9442,60.85,87,100,12.33,overcast clouds
200,Alyangula,AU,-13.8483,136.4192,69.67,94,57,0.0,broken clouds
201,Komsomolskiy,UZ,40.4272,71.7189,50.72,76,100,6.91,overcast clouds
202,Port Keats,AU,-14.25,129.55,80.22,83,55,5.1,broken clouds
203,Morondava,MG,-20.2833,44.2833,81.28,78,16,6.31,light rain
204,Lata,PT,40.1629,-8.3327,59.47,62,100,5.12,overcast clouds
205,Hualmay,PE,-11.0964,-77.6139,74.97,74,100,11.52,overcast clouds
206,Tiksi,RU,71.6872,128.8694,-17.05,100,88,5.26,overcast clouds
207,Bathsheba,BB,13.2167,-59.5167,84.81,65,40,20.71,scattered clouds
208,Bayanday,RU,53.0661,105.5139,-3.96,99,44,0.38,scattered clouds
209,Bredasdorp,ZA,-34.5322,20.0403,69.24,57,100,4.07,overcast clouds
210,Xiangxiang,CN,27.7333,112.5333,55.6,89,100,2.08,overcast clouds
211,Mercedes,AR,-34.6515,-59.4307,81.86,30,4,14.29,clear sky
212,Cabedelo,BR,-6.9811,-34.8339,86.67,73,28,12.55,scattered clouds
213,Berlevag,NO,70.8578,29.0864,24.6,60,100,21.88,light snow
214,Thinadhoo,MV,0.5333,72.9333,81.72,62,5,3.04,clear sky
215,Palauig,PH,15.435,119.9045,80.47,72,22,4.81,few clouds
216,Opuwo,NA,-18.0607,13.84,72.97,43,15,5.23,few clouds
217,Miri,MY,4.4148,114.0089,77.14,94,40,2.3,scattered clouds
218,Tautira,PF,-17.7333,-149.15,81.37,75,99,15.61,overcast clouds
219,Vila,PT,42.0304,-8.1588,54.48,92,100,3.62,overcast clouds
220,Jalu,LY,29.0331,21.5482,69.98,14,26,9.91,scattered clouds
221,Jumla,NP,29.2747,82.1838,48.25,52,0,3.4,clear sky
222,Magole,TZ,-6.3667,37.3667,72.63,90,12,0.72,few clouds
223,Yellowknife,CA,62.456,-114.3525,18.41,75,75,3.44,light snow
224,Cootamundra,AU,-34.65,148.0333,61.43,78,100,6.11,moderate rain
225,Fayaoue,NC,-20.65,166.5333,80.06,78,97,17.52,overcast clouds
226,Mayumba,GA,-3.432,10.6554,76.17,95,100,5.82,heavy intensity rain
227,Comodoro Rivadavia,AR,-45.8667,-67.5,69.66,21,40,25.32,scattered clouds
228,Turukhansk,RU,65.8167,87.9833,9.39,93,100,8.93,overcast clouds
229,Ilulissat,GL,69.2167,-51.1,34.92,74,10,7.25,clear sky
230,Darhan,MN,49.4867,105.9228,21.63,56,8,3.04,clear sky
231,Cidreira,BR,-30.1811,-50.2056,74.53,61,0,8.61,clear sky
232,Torrevieja,ES,37.9787,-0.6822,59.5,76,100,8.01,overcast clouds
233,Price,US,39.5994,-110.8107,58.12,22,100,9.33,overcast clouds
234,Vestmannaeyjar,IS,63.4427,-20.2734,38.39,81,100,33.38,overcast clouds
235,Malakal,SS,9.5334,31.6605,89.4,14,97,5.01,overcast clouds
236,Ixtapa,MX,20.7,-105.2,91.18,22,9,8.57,clear sky
237,Carson City,US,39.1638,-119.7674,54.73,41,0,4.0,clear sky
238,Provideniya,RU,64.3833,-173.3,7.38,83,11,5.53,few clouds
239,Sao Joao Da Barra,BR,-21.6403,-41.0511,89.69,79,50,11.54,scattered clouds
240,Tiradentes,BR,-21.1103,-44.1781,63.01,72,88,1.5,overcast clouds
241,Mabaruma,GY,8.2,-59.7833,84.18,57,100,8.5,overcast clouds
242,Faanui,PF,-16.4833,-151.75,82.17,72,79,13.87,broken clouds
243,Rocha,UY,-34.4833,-54.3333,81.99,32,0,6.87,clear sky
244,Coahuayana,MX,18.7333,-103.6833,89.28,33,22,7.99,few clouds
245,Anaconda,US,46.1285,-112.9423,55.99,45,100,3.62,overcast clouds
246,Oliver,CA,49.1831,-119.5524,55.31,62,92,4.61,overcast clouds
247,Svetlyy,RU,54.675,20.1347,42.85,82,10,23.2,clear sky
248,Tilichiki,RU,60.4667,166.1,20.89,85,95,33.67,light snow
249,Oranjemund,NA,-28.55,16.4333,63.9,80,0,1.36,clear sky
250,Clyde River,CA,70.4692,-68.5914,1.63,85,40,20.71,scattered clouds
251,Bilibino,RU,68.0546,166.4372,-23.39,97,11,4.94,few clouds
252,Podgornoye,RU,51.735,39.1496,37.62,56,0,15.66,clear sky
253,Arman,RU,59.7,150.1667,13.78,76,100,9.98,overcast clouds
254,Taoudenni,ML,22.6783,-3.9836,97.03,8,100,11.56,overcast clouds
255,Olafsvik,IS,64.8945,-23.7142,33.31,87,100,17.22,light snow
256,Ishigaki,JP,24.3448,124.1572,69.93,100,100,18.41,mist
257,Hervey Bay,AU,-25.2986,152.8535,67.01,88,3,10.0,clear sky
258,Garowe,SO,8.4054,48.4845,75.69,64,6,17.02,clear sky
259,Upernavik,GL,72.7868,-56.1549,25.02,71,100,5.57,overcast clouds
260,Isla Mujeres,MX,21.2311,-86.731,82.17,53,0,15.3,clear sky
261,Northam,GB,51.0333,-4.2167,55.26,79,100,9.93,overcast clouds
262,Acapulco,MX,16.8634,-99.8901,86.95,34,0,9.44,clear sky
263,Roanoke Rapids,US,36.4615,-77.6542,54.01,40,0,14.97,clear sky
264,Kattivakkam,IN,13.2167,80.3167,84.29,89,5,10.67,clear sky
265,Gouvieux,FR,49.1871,2.4144,65.21,50,100,6.13,overcast clouds
266,Simao,CN,22.7886,100.9748,60.57,71,90,2.48,overcast clouds
267,Dunedin,NZ,-45.8742,170.5036,61.81,91,100,3.27,overcast clouds
268,Bandarbeyla,SO,9.4942,50.8122,79.29,74,16,13.89,few clouds
269,Sijunjung,ID,-0.6876,100.9537,70.12,78,0,2.19,clear sky
270,Nome,US,64.5011,-165.4064,15.58,87,86,8.43,overcast clouds
271,Shimanovsk,RU,52.0,127.7,23.9,83,6,8.3,clear sky
272,Casteltermini,IT,37.5405,13.6445,48.83,85,9,0.54,clear sky
273,Talnakh,RU,69.4865,88.3972,-2.42,98,89,8.59,overcast clouds
274,Inhambane,MZ,-23.865,35.3833,73.38,83,20,5.01,few clouds
275,Nhulunbuy,AU,-12.2333,136.7667,77.61,94,97,0.0,overcast clouds
276,Holme,DK,56.1138,10.1725,44.17,75,60,15.77,broken clouds
277,Tecolutla,MX,20.4833,-97.0167,75.49,62,6,13.24,clear sky
278,Yefremov,RU,53.1481,38.0992,38.7,80,100,22.5,overcast clouds
279,Katsuura,JP,35.1333,140.3,52.86,65,100,13.49,overcast clouds
280,Brae,GB,60.3964,-1.353,40.12,64,100,9.01,overcast clouds
281,Sibolga,ID,1.7427,98.7792,74.97,74,11,3.85,few clouds
282,Baiyin,CN,36.5583,104.2081,46.29,30,100,9.66,overcast clouds
283,Brand-Erbisdorf,DE,50.8667,13.3333,52.12,84,38,4.65,scattered clouds
284,Okha,RU,53.5739,142.9478,1.74,99,40,6.71,scattered clouds
285,Olga,RU,43.7444,135.2892,33.82,60,71,5.95,broken clouds
286,Carnarvon,AU,-24.8667,113.6333,73.47,88,75,21.85,light rain
287,Eureka,US,40.8021,-124.1637,61.18,78,100,3.6,overcast clouds
288,Chumikan,RU,54.7183,135.315,5.02,95,59,3.27,broken clouds
289,Kodiak,US,57.79,-152.4072,36.91,100,100,10.36,light rain
290,Valparaiso,CL,-33.0393,-71.6273,64.04,67,0,14.97,clear sky
291,Waipawa,NZ,-41.4122,175.5153,54.59,91,93,1.48,overcast clouds
292,Saint-Georges,GD,12.0564,-61.7485,85.68,62,20,20.71,few clouds
293,Sitka,US,57.0531,-135.33,43.93,59,100,5.17,overcast clouds
294,Mount Gambier,AU,-37.8333,140.7667,49.91,100,100,0.0,fog
295,Nalut,LY,30.3333,10.85,70.57,19,0,9.82,clear sky
296,Emerald,AU,-23.5333,148.1667,68.14,83,1,5.75,clear sky
297,Matagami,CA,49.7502,-77.6328,8.71,72,100,13.8,overcast clouds
298,General Roca,AR,-39.0333,-67.5833,81.63,16,0,12.39,clear sky
299,Marquette,US,46.5333,-87.6335,24.82,52,100,7.74,overcast clouds
300,Steamboat Springs,US,40.485,-106.8317,61.93,29,0,5.75,clear sky
301,Provins,FR,48.5833,3.1667,60.78,54,100,6.02,overcast clouds
302,Mbandaka,CD,0.0487,18.2603,77.16,79,83,4.45,broken clouds
303,Puerto Quijarro,BO,-17.7833,-57.7667,97.63,35,82,1.36,broken clouds
304,Presidencia Roque Saenz Pena,AR,-26.7852,-60.4388,93.78,24,0,9.31,clear sky
305,Puntarenas,CR,9.9763,-84.8384,92.7,36,100,6.91,overcast clouds
306,Cap Malheureux,MU,-19.9842,57.6142,77.47,79,26,3.0,scattered clouds
307,Chicama,PE,-7.8447,-79.1469,70.34,62,89,9.46,overcast clouds
308,Paamiut,GL,61.994,-49.6678,32.36,69,100,4.27,overcast clouds
309,Makakilo City,US,21.3469,-158.0858,77.2,84,100,0.0,overcast clouds
310,Panjab,AF,34.388,67.0233,40.95,38,0,3.71,clear sky
311,Coquimbo,CL,-29.9533,-71.3436,67.15,69,0,8.84,clear sky
312,Rawson,AR,-43.3002,-65.1023,74.82,24,0,21.68,clear sky
313,Sambava,MG,-14.2667,50.1667,77.36,86,9,3.2,clear sky
314,Pinega,RU,64.7001,43.3936,3.06,97,36,3.27,scattered clouds
315,Zhangye,CN,38.9342,100.4517,41.86,51,86,2.37,overcast clouds
316,Bogorodskoye,RU,56.55,37.8833,34.32,95,100,15.08,light snow
317,Halifax,CA,44.6453,-63.5724,46.49,79,40,13.8,scattered clouds
318,Providencia,MX,28.7167,-111.5833,84.2,28,100,12.37,overcast clouds
319,Dawlatabad,AF,36.4141,64.9053,58.05,36,0,4.29,clear sky
320,Pa Sang,TH,18.5262,98.9394,79.0,68,50,2.08,scattered clouds
321,Torbay,CA,47.6666,-52.7314,50.88,70,75,4.0,broken clouds
322,Ondjiva,AO,-17.0667,15.7333,73.99,32,100,2.84,overcast clouds
323,Ganzhou,CN,28.8184,115.4327,53.38,88,0,0.89,clear sky
324,Pietersburg,ZA,-23.9045,29.4688,63.45,72,0,4.61,clear sky
325,Guarapari,BR,-20.6667,-40.4975,82.89,72,99,10.27,overcast clouds
326,Belmonte,BR,-15.8631,-38.8828,82.44,64,100,6.22,overcast clouds
327,Japura,ID,-0.3167,102.35,73.71,97,2,1.48,clear sky
328,Henties Bay,NA,-22.116,14.2845,65.25,76,55,3.49,broken clouds
329,Dongsheng,CN,39.8161,109.9776,44.31,41,100,10.09,light rain
330,Ust-Maya,RU,60.4167,134.5333,-0.18,98,100,1.81,overcast clouds
331,Xiamen,CN,24.4798,118.0819,58.24,94,100,2.24,overcast clouds
332,Mount Isa,AU,-20.7333,139.5,69.57,32,0,8.05,clear sky
333,Rabo De Peixe,PT,37.8,-25.5833,62.11,72,40,9.22,scattered clouds
334,Manado,ID,1.487,124.8455,77.77,94,40,2.3,scattered clouds
335,Payo,ID,-3.7508,103.6372,73.8,90,53,1.32,broken clouds
336,Hurricane,US,37.1753,-113.2899,71.33,23,100,24.49,overcast clouds
337,Shubarkuduk,KZ,49.1447,56.4872,18.39,97,51,6.06,broken clouds
338,Anchorage,US,61.2181,-149.9003,39.87,82,84,5.01,broken clouds
339,Kavaratti,IN,10.5669,72.642,84.33,76,0,13.02,clear sky
340,Luorong,CN,24.4058,109.6086,62.91,82,100,2.44,overcast clouds
341,Yar-Sale,RU,66.8333,70.8333,22.17,95,100,14.83,overcast clouds
342,Nishihara,JP,26.1842,127.7558,66.25,97,100,10.36,overcast clouds
343,Vorontsovka,RU,50.6132,40.3549,37.02,67,99,23.49,overcast clouds
344,Talcahuano,CL,-36.7167,-73.1167,60.44,69,0,9.4,clear sky
