City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
177,Saint George,US,2022-03-25 16:21:01,37.1041,-113.5841,55.99,30,0,0.0
178,Pucallpa,PE,2022-03-25 16:23:42,-8.3791,-74.5539,87.84,62,40,2.3
179,Shahrud,IR,2022-03-25 16:23:42,36.4182,54.9763,47.98,38,0,7.43
180,La Mesa,US,2022-03-25 16:22:13,32.7678,-117.0231,80.2,62,0,5.75
181,San Patricio,US,2022-03-25 16:23:45,28.017,-97.5169,78.89,25,0,2.55
182,Camapua,BR,2022-03-25 16:23:45,-19.5314,-54.0439,84.2,66,100,10.54
183,Barreirinhas,BR,2022-03-25 16:23:46,-2.7469,-42.8264,88.48,60,23,4.12
184,Qasigiannguit,GL,2022-03-25 16:23:46,68.8193,-51.1922,21.45,89,100,0.58
185,Saint-Pierre,RE,2022-03-25 16:23:46,-21.3393,55.4781,80.28,80,75,10.36
186,Diapaga,BF,2022-03-25 16:24:47,12.0708,1.7889,105.01,8,3,10.4
187,Cidreira,BR,2022-03-25 16:24:47,-30.1811,-50.2056,70.43,57,100,14.7
188,Vila Velha,BR,2022-03-25 16:24:47,-20.3297,-40.2925,87.75,66,20,14.97
189,Aksu,CN,2022-03-25 16:24:48,41.1231,80.2644,46.76,56,89,5.61
190,Abu Dhabi,AE,2022-03-25 16:21:23,24.4667,54.3667,84.31,65,0,5.75
191,Bima,ID,2022-03-25 16:24:48,-8.4667,118.7167,76.96,93,97,1.99
192,Georgetown,MY,2022-03-25 16:20:51,5.4112,100.3354,80.53,87,40,6.91
193,Evensk,RU,2022-03-25 16:24:49,61.95,159.2333,1.22,84,13,7.58
194,Kihei,US,2022-03-25 16:24:49,20.785,-156.4656,73.42,68,0,11.5
195,Beisfjord,NO,2022-03-25 16:24:50,68.3751,17.5988,32.05,94,100,5.37
196,Mossendjo,CG,2022-03-25 16:24:50,-2.9506,12.7261,82.13,72,100,1.21
197,Sao Felix Do Xingu,BR,2022-03-25 16:24:51,-6.6447,-51.995,85.17,63,88,3.13
198,Yumen,CN,2022-03-25 16:24:51,40.2833,97.2,40.5,26,29,13.0
199,Surt,LY,2022-03-25 16:24:51,31.2089,16.5887,61.65,49,0,20.02
200,Lasa,IT,2022-03-25 16:24:52,46.6166,10.7002,60.37,77,53,2.15
201,Trelew,AR,2022-03-25 16:22:37,-43.249,-65.3051,64.56,38,0,4.18
202,Upernavik,GL,2022-03-25 16:24:52,72.7868,-56.1549,16.99,84,100,20.96
203,Dikson,RU,2022-03-25 16:24:53,73.5069,80.5464,9.91,92,100,10.54
204,Pasighat,IN,2022-03-25 16:24:53,28.0667,95.3333,73.31,54,96,3.67
205,Chokurdakh,RU,2022-03-25 16:24:54,70.6333,147.9167,-10.79,99,100,4.92
206,Port Hardy,CA,2022-03-25 16:24:54,50.6996,-127.4199,46.4,76,100,5.75
207,Palmer,US,2022-03-25 16:24:55,42.1584,-72.3287,56.77,67,75,5.75
208,Finschhafen,PG,2022-03-25 16:24:55,-6.6024,147.8681,80.46,82,66,10.78
209,Bathsheba,BB,2022-03-25 16:24:55,13.2167,-59.5167,83.01,65,40,27.63
210,Poum,NC,2022-03-25 16:24:56,-20.2333,164.0167,79.7,76,100,8.14
211,Old Town,CZ,2022-03-25 16:24:56,50.087,14.4202,61.61,29,0,10.36
212,Kirakira,SB,2022-03-25 16:24:57,-10.4544,161.9205,78.8,82,100,0.16
213,Coracao De Maria,BR,2022-03-25 16:24:57,-12.2333,-38.75,82.56,62,63,9.95
214,Katsuura,JP,2022-03-25 16:24:58,35.1333,140.3,59.4,75,100,18.16
215,Hirara,JP,2022-03-25 16:24:58,24.8,125.2833,73.74,94,81,23.6
216,Kabo,CF,2022-03-25 16:24:59,7.6994,18.629,96.71,27,75,5.84
217,Yeniseysk,RU,2022-03-25 16:24:59,58.4497,92.1703,17.1,95,93,5.32
218,Seoul,KR,2022-03-25 16:24:59,37.5683,126.9778,55.0,88,100,16.11
219,Vanimo,PG,2022-03-25 16:25:00,-2.6741,141.3028,77.38,89,100,6.31
220,Port Alfred,ZA,2022-03-25 16:25:00,-33.5906,26.891,65.98,74,99,9.04
221,Buraydah,SA,2022-03-25 16:25:01,26.326,43.975,73.85,9,0,11.5
222,Isla Vista,US,2022-03-25 16:21:27,34.4133,-119.861,81.3,83,100,4.61
223,Geraldton,AU,2022-03-25 16:25:01,-28.7667,114.6,77.41,69,100,13.8
224,Khatanga,RU,2022-03-25 16:25:02,71.9667,102.5,-18.47,100,93,3.36
225,Flinders,AU,2022-03-25 16:25:03,-34.5833,150.8552,64.18,91,99,7.0
226,Chuy,UY,2022-03-25 16:25:04,-33.6971,-53.4616,64.49,55,86,18.81
227,Black River,JM,2022-03-25 16:25:05,18.0264,-77.8487,85.73,51,78,15.08
228,Makakilo City,US,2022-03-25 16:25:06,21.3469,-158.0858,70.29,82,100,6.91
229,Krasnoselkup,RU,2022-03-25 16:25:06,65.7,82.4667,23.18,88,100,25.1
230,Pitimbu,BR,2022-03-25 16:25:07,-7.4706,-34.8086,88.39,67,92,11.32
231,Flagstaff,US,2022-03-25 16:20:27,35.1981,-111.6513,61.12,28,0,1.01
232,Bonoua,CI,2022-03-25 16:26:07,5.2741,-3.595,85.62,63,66,9.13
233,Tambo,PE,2022-03-25 16:26:08,-14.8,-73.9167,51.26,52,25,5.77
234,Sedlcany,CZ,2022-03-25 16:26:08,49.6606,14.4266,60.64,34,0,6.38
235,Botngard,NO,2022-03-25 16:26:08,63.7653,9.8111,42.33,70,75,36.82
236,Bengkulu,ID,2022-03-25 16:26:09,-3.8004,102.2655,77.45,81,11,3.89
237,Sosnovka,RU,2022-03-25 16:26:09,56.255,51.2842,17.92,91,9,3.13
238,Tuatapere,NZ,2022-03-25 16:26:10,-46.1333,167.6833,51.39,93,81,3.13
239,Casa Nova,BR,2022-03-25 16:26:10,-9.4167,-41.1333,91.4,33,36,5.39
240,Wagar,SD,2022-03-25 16:26:11,16.1525,36.2032,86.34,24,4,16.31
241,Lagoa,PT,2022-03-25 16:26:11,39.05,-27.9833,58.93,91,100,35.59
242,La Palma,US,2022-03-25 16:26:12,33.8464,-118.0467,84.11,91,20,0.0
243,Kemijarvi,FI,2022-03-25 16:26:13,66.7131,27.4306,26.19,89,100,9.31
244,Srednekolymsk,RU,2022-03-25 16:26:13,67.45,153.6833,2.71,97,100,10.07
245,Aswan,EG,2022-03-25 16:26:14,24.0934,32.907,69.1,17,0,13.8
246,San Policarpo,PH,2022-03-25 16:26:14,12.1791,125.5072,80.26,81,13,9.55
247,Rio Grande,BR,2022-03-25 16:26:14,-32.035,-52.0986,75.31,49,2,21.47
248,Bosaso,SO,2022-03-25 16:26:15,11.2842,49.1816,78.73,67,1,3.56
249,Goderich,CA,2022-03-25 16:26:15,43.7501,-81.7165,34.92,93,100,6.91
250,Karpathos,GR,2022-03-25 16:26:15,35.507,27.2132,62.56,72,20,10.36
251,Charlestown,AU,2022-03-25 16:22:23,-32.95,151.6667,70.74,96,98,1.01
252,Pringsewu,ID,2022-03-25 16:26:16,-5.3582,104.9744,74.84,96,91,2.24
253,Jalu,LY,2022-03-25 16:26:17,29.0331,21.5482,64.49,23,0,9.62
254,Coahuayana,MX,2022-03-25 16:26:17,18.7333,-103.6833,85.26,26,1,1.48
255,Rudbar,AF,2022-03-25 16:26:18,30.15,62.6,83.01,9,0,11.79
256,Mill Valley,US,2022-03-25 16:26:18,37.906,-122.545,52.79,87,58,1.01
257,Grand Baie,MU,2022-03-25 16:26:18,-20.0182,57.5802,81.07,84,6,1.99
258,Namibe,AO,2022-03-25 16:26:19,-15.1961,12.1522,77.86,69,49,15.23
259,Beya,RU,2022-03-25 16:26:19,53.0533,90.9139,18.97,81,38,7.27
260,Onguday,RU,2022-03-25 16:21:21,50.75,86.15,14.14,89,80,3.42
261,Kutum,SD,2022-03-25 16:26:20,14.2,24.6667,78.51,11,87,15.61
262,Kalabo,ZM,2022-03-25 16:26:20,-14.97,22.6814,75.63,72,88,4.65
263,Manokwari,ID,2022-03-25 16:26:20,-0.8667,134.0833,78.49,81,100,3.67
264,Kasongo,CD,2022-03-25 16:26:21,-4.45,26.6667,79.07,76,38,1.83
265,Korla,CN,2022-03-25 16:26:21,41.7597,86.1469,45.99,47,100,6.04
266,Soe,ID,2022-03-25 16:26:22,-9.8607,124.284,65.86,95,77,2.84
267,Constitucion,CL,2022-03-25 16:26:22,-35.3333,-72.4167,66.54,48,0,5.17
268,Palencia,ES,2022-03-25 16:26:22,42.4167,-4.5,53.92,79,100,4.09
269,Jumla,NP,2022-03-25 16:26:23,29.2747,82.1838,45.12,41,1,4.54
270,Akyab,MM,2022-03-25 16:26:23,20.15,92.9,78.78,85,10,2.46
271,Ibra,OM,2022-03-25 16:26:24,22.6906,58.5334,80.35,22,0,8.08
272,Inhambane,MZ,2022-03-25 16:26:24,-23.865,35.3833,82.38,89,40,6.91
273,Ponta Delgada,PT,2022-03-25 16:26:24,37.7333,-25.6667,61.52,82,75,21.85
274,Bilma,NE,2022-03-25 16:27:25,18.6853,12.9164,88.68,8,0,8.32
275,Termoli,IT,2022-03-25 16:27:25,41.9888,14.9895,65.79,57,5,1.59
276,Zlitan,LY,2022-03-25 16:27:26,32.4674,14.5687,65.16,35,0,18.77
277,Yarada,IN,2022-03-25 16:27:26,17.65,83.2667,84.52,79,20,9.22
278,Salamiyah,SY,2022-03-25 16:27:27,35.0113,37.0532,44.55,73,43,14.29
279,Kavaratti,IN,2022-03-25 16:27:27,10.5669,72.642,83.28,63,4,4.03
280,Roma,US,2022-03-25 16:24:03,43.2128,-75.4557,50.09,69,100,8.05
281,Chipinge,ZW,2022-03-25 16:27:27,-20.1883,32.6236,76.06,49,82,3.65
282,Esperance,AU,2022-03-25 16:27:28,-33.8667,121.9,64.24,66,63,17.13
283,Mount Abu,IN,2022-03-25 16:27:28,24.6,72.7,72.14,17,13,4.99
284,Ballina,AU,2022-03-25 16:27:29,-28.8667,153.5667,67.96,96,100,4.61
285,Vitim,RU,2022-03-25 16:27:29,59.4511,112.5578,4.59,98,98,1.23
286,Alofi,NU,2022-03-25 16:27:29,-19.0595,-169.9187,76.89,88,96,6.91
