City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
241,Mabaruma,GY,84.18,overcast clouds,8.2,-59.7833,Monty Brooms Guest House
242,Faanui,PF,82.17,broken clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
243,Rocha,UY,81.99,clear sky,-34.4833,-54.3333,Hotel Arrarte
244,Coahuayana,MX,89.28,few clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
258,Garowe,SO,75.69,clear sky,8.4054,48.4845,Curubo Hotel
260,Isla Mujeres,MX,82.17,clear sky,21.2311,-86.731,Hotel La Joya Isla Mujeres
262,Acapulco,MX,86.95,clear sky,16.8634,-99.8901,HS Hotsson Smart Acapulco
264,Kattivakkam,IN,84.29,clear sky,13.2167,80.3167,Euronova Freezer
268,Bandarbeyla,SO,79.29,few clouds,9.4942,50.8122,JABIR HOTEL
275,Nhulunbuy,AU,77.61,overcast clouds,-12.2333,136.7667,East Arnhem Real Estate
277,Tecolutla,MX,75.49,clear sky,20.4833,-97.0167,Hotel Plaza Marsol
292,Saint-Georges,GD,85.68,few clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
298,General Roca,AR,81.63,clear sky,-39.0333,-67.5833,Hotel El Recreo
302,Mbandaka,CD,77.16,broken clouds,0.0487,18.2603,Guest House Epervier
304,Presidencia Roque Saenz Pena,AR,93.78,clear sky,-26.7852,-60.4388,Hotel Gualok
305,Puntarenas,CR,92.7,overcast clouds,9.9763,-84.8384,Michael's Surfside Hotel
306,Cap Malheureux,MU,77.47,scattered clouds,-19.9842,57.6142,Pereybere Hotel & Spa
309,Makakilo City,US,77.2,overcast clouds,21.3469,-158.0858,Marriott's Ko Olina Beach Club
313,Sambava,MG,77.36,clear sky,-14.2667,50.1667,Melrose
318,Providencia,MX,84.2,overcast clouds,28.7167,-111.5833,
320,Pa Sang,TH,79.0,scattered clouds,18.5262,98.9394,โรงแรม จามจุรี 99
325,Guarapari,BR,82.89,overcast clouds,-20.6667,-40.4975,Hotel Porto do Sol
326,Belmonte,BR,82.44,overcast clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
334,Manado,ID,77.77,scattered clouds,1.487,124.8455,Aryaduta Hotel
339,Kavaratti,IN,84.33,clear sky,10.5669,72.642,Hotels in Lakshadweep Islands
347,Pimenta Bueno,BR,82.63,overcast clouds,-11.6725,-61.1936,Cristalina Palace Hotel
352,Sur,OM,80.89,clear sky,22.5667,59.5289,Sur Plaza Hotel
353,Sechura,PE,77.79,overcast clouds,-5.5569,-80.8222,Hospedaje Costa Bella
354,Hambantota,LK,77.34,scattered clouds,6.1241,81.1185,Bungalow 63
356,Kidal,ML,87.19,clear sky,18.4411,1.4078,
357,Serrana,BR,84.54,light rain,-21.2114,-47.5956,CMS Plaza Hotel
358,Campo Maior,BR,83.1,moderate rain,-4.8278,-42.1686,Elite Hotel
361,Huarmey,PE,76.53,scattered clouds,-10.0681,-78.1522,Hotel Miramar
364,San Policarpo,PH,79.72,scattered clouds,12.1791,125.5072,Agapita M. Nicart
368,Fare,PF,82.04,broken clouds,-16.7,-151.0167,Maitai Lapita Village Huahine
370,San Carlos,VE,93.18,overcast clouds,9.6612,-68.5827,Hotel Paternopoli
371,Pisco,PE,78.64,few clouds,-13.7,-76.2167,Hotel San Isidro Oficial
372,San Cristobal,VE,83.3,overcast clouds,7.7669,-72.225,Pirineos
375,Honiara,SB,77.81,overcast clouds,-9.4333,159.95,Heritage Park Hotel
376,Cabo San Lucas,MX,87.1,clear sky,22.8909,-109.9124,Hotel Tesoro Los Cabos
377,Bireun,ID,79.38,few clouds,5.203,96.7009,Rumah Bp.AR. ISMAIL
382,Kismayo,SO,81.32,clear sky,-0.3582,42.5454,Agan-Hotel
385,Yokadouma,CM,78.22,clear sky,3.5167,15.05,Hôtel De Ville De Yokadouma
386,Port Blair,IN,80.73,scattered clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
390,Sinnamary,GF,80.28,overcast clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
391,Sao Miguel Do Tapuio,BR,84.16,overcast clouds,-5.5036,-41.3233,Hotel Tropical
392,Nacozari,MX,86.11,clear sky,25.3366,-108.2574,
398,Prado,BR,82.31,broken clouds,-17.3411,-39.2208,INN CORNER RIVER - PRADO - BAHIA - HOUSING AND HOTEL
406,Kavieng,PG,81.34,light rain,-2.5744,150.7967,Nusa Island Retreat
411,Tecoanapa,MX,85.62,overcast clouds,16.5167,-98.75,Hotel Manglares
414,Am Timan,TD,88.25,clear sky,11.0297,20.2827,Palais du chef Canton Salamt
415,Sola,VU,82.63,overcast clouds,-13.8833,167.55,Leumerus Bungalows
417,Vila Velha,BR,82.94,broken clouds,-20.3297,-40.2925,Hotel Vitória Palace
419,Tomatlan,MX,92.62,few clouds,19.9333,-105.25,El Salvial
422,Abeche,TD,80.1,few clouds,13.8292,20.8324,Assaleh Hamdan Haroune
426,Cintalapa,MX,90.95,scattered clouds,16.6951,-93.7272,Casa Blanca Hotel Hacienda
431,Micheweni,TZ,82.4,overcast clouds,-4.9667,39.8333,
436,Mantenopolis,BR,82.35,scattered clouds,-18.8625,-41.1228,Deed's Hotel
438,Porto Walter,BR,79.9,overcast clouds,-8.2686,-72.7439,Secretaria de saúde
439,Florianopolis,BR,80.13,scattered clouds,-27.6146,-48.5012,Hotel Boutique Quinta das Videiras
441,Quatre Cocos,MU,77.09,clear sky,-20.2078,57.7625,Sunrise Attitude Hotel
442,Manta,EC,82.22,broken clouds,-0.95,-80.7333,Balandra Hotel
444,Keshorai Patan,IN,84.56,clear sky,25.3,75.9333,Hotel Jamindar Palace
451,Latung,PH,81.95,overcast clouds,5.5,120.8833,
452,Miramar,US,85.03,clear sky,25.9873,-80.2323,Stadium Hotel
464,Yaan,NG,88.52,broken clouds,7.3833,8.5667,
